hour,day_of_week,month,is_weekend,is_rush_hour,is_night,is_monsoon,weather_main,road_type,is_junction,is_urban,is_highway,Year,Number of Vehicles Involved,Number of Casualties,Number of Fatalities,Speed Limit (km/h),Driver Age,year,target_binary
10.0,5.0,10.0,1,0,0,0,Fog,urban,0,1,0,2021,5,3,1,78,56,2025.0,1
21.0,5.0,10.0,1,0,0,0,Storm,highway,0,1,0,2019,1,9,0,108,44,2025.0,1
7.0,5.0,10.0,1,1,0,0,Rain,rural,0,1,0,2022,5,6,0,41,43,2025.0,1
1.0,5.0,10.0,1,0,1,0,Fog,rural,0,1,0,2023,5,1,4,113,66,2025.0,0
2.0,5.0,10.0,1,0,1,0,Clear,highway,0,1,0,2023,3,0,0,66,50,2025.0,1
17.0,5.0,10.0,1,1,0,0,Storm,highway,0,1,0,2018,5,1,2,85,31,2025.0,0
20.0,5.0,10.0,1,0,0,0,Fog,urban,0,1,0,2018,2,9,5,75,48,2025.0,1
5.0,5.0,10.0,1,0,1,0,Storm,rural,0,1,0,2021,2,2,2,86,27,2025.0,0
12.0,5.0,10.0,1,0,0,0,Rain,highway,0,1,0,2023,3,7,0,104,64,2025.0,1
2.0,5.0,10.0,1,0,1,0,Clear,rural,0,1,0,2020,1,6,3,41,65,2025.0,1
1.0,5.0,10.0,1,0,1,0,Storm,rural,0,1,0,2023,3,2,1,40,46,2025.0,0
6.0,5.0,10.0,1,0,0,0,Other,urban,0,1,0,2018,1,8,1,75,41,2025.0,1
18.0,5.0,10.0,1,1,0,0,Clear,highway,0,1,0,2023,1,3,1,32,62,2025.0,0
6.0,5.0,10.0,1,0,0,0,Storm,rural,0,1,0,2021,5,4,4,106,36,2025.0,1
1.0,5.0,10.0,1,0,1,0,Fog,highway,0,1,0,2019,4,10,0,40,63,2025.0,1
9.0,5.0,10.0,1,1,0,0,Fog,highway,0,1,0,2018,1,8,0,102,61,2025.0,1
17.0,5.0,10.0,1,1,0,0,Clear,highway,0,1,0,2021,1,0,2,106,22,2025.0,1
19.0,5.0,10.0,1,1,0,0,Clear,urban,0,1,0,2019,5,5,4,44,23,2025.0,1
10.0,5.0,10.0,1,0,0,0,Fog,urban,0,1,0,2023,3,7,5,89,64,2025.0,0
16.0,5.0,10.0,1,0,0,0,Storm,highway,0,1,0,2020,2,0,0,82,56,2025.0,1
3.0,5.0,10.0,1,0,1,0,Storm,highway,0,1,0,2022,3,0,1,58,55,2025.0,0
14.0,5.0,10.0,1,0,0,0,Storm,highway,0,1,0,2021,2,1,5,82,22,2025.0,1
3.0,5.0,10.0,1,0,1,0,Clear,rural,0,1,0,2019,2,8,4,47,44,2025.0,1
20.0,5.0,10.0,1,0,0,0,Other,rural,0,1,0,2019,1,0,0,38,46,2025.0,1
3.0,5.0,10.0,1,0,1,0,Fog,highway,0,1,0,2022,3,9,5,87,22,2025.0,0
18.0,5.0,10.0,1,1,0,0,Other,highway,0,1,0,2018,2,10,5,109,62,2025.0,0
16.0,5.0,10.0,1,0,0,0,Clear,highway,0,1,0,2022,5,7,2,61,26,2025.0,1
9.0,5.0,10.0,1,1,0,0,Clear,highway,0,1,0,2018,1,0,5,94,26,2025.0,1
9.0,5.0,10.0,1,1,0,0,Storm,highway,0,1,0,2019,2,8,5,90,49,2025.0,1
5.0,5.0,10.0,1,0,1,0,Storm,rural,0,1,0,2019,4,10,2,44,42,2025.0,1
18.0,5.0,10.0,1,1,0,0,Storm,highway,0,1,0,2021,2,5,4,36,67,2025.0,1
17.0,5.0,10.0,1,1,0,0,Other,urban,0,1,0,2023,4,2,1,86,20,2025.0,0
4.0,5.0,10.0,1,0,1,0,Rain,highway,0,1,0,2018,5,1,4,77,63,2025.0,1
13.0,5.0,10.0,1,0,0,0,Clear,highway,0,1,0,2021,2,4,2,51,36,2025.0,1
5.0,5.0,10.0,1,0,1,0,Storm,urban,0,1,0,2018,1,10,1,31,30,2025.0,0
15.0,5.0,10.0,1,0,0,0,Rain,highway,0,1,0,2019,2,7,5,38,46,2025.0,1
13.0,5.0,10.0,1,0,0,0,Other,rural,0,1,0,2020,3,8,4,80,68,2025.0,0
23.0,5.0,10.0,1,0,1,0,Other,rural,0,1,0,2018,5,10,2,41,39,2025.0,0
2.0,5.0,10.0,1,0,1,0,Storm,urban,0,1,0,2021,3,3,4,75,68,2025.0,1
21.0,5.0,10.0,1,0,0,0,Clear,rural,0,1,0,2018,4,10,2,31,31,2025.0,1
16.0,5.0,10.0,1,0,0,0,Fog,highway,0,1,0,2020,4,4,5,75,67,2025.0,1
18.0,5.0,10.0,1,1,0,0,Fog,urban,0,1,0,2021,3,2,0,57,60,2025.0,0
20.0,5.0,10.0,1,0,0,0,Rain,rural,0,1,0,2021,1,9,3,96,28,2025.0,1
12.0,5.0,10.0,1,0,0,0,Rain,rural,0,1,0,2022,2,7,0,54,56,2025.0,1
0.0,5.0,10.0,1,0,1,0,Clear,rural,0,1,0,2018,2,10,5,86,23,2025.0,1
7.0,5.0,10.0,1,1,0,0,Clear,highway,0,1,0,2019,5,8,1,104,56,2025.0,0
21.0,5.0,10.0,1,0,0,0,Rain,highway,0,1,0,2019,3,5,4,80,19,2025.0,0
4.0,5.0,10.0,1,0,1,0,Clear,rural,0,1,0,2021,5,0,0,91,67,2025.0,1
4.0,5.0,10.0,1,0,1,0,Rain,urban,0,1,0,2022,3,3,4,89,62,2025.0,1
1.0,5.0,10.0,1,0,1,0,Clear,highway,0,1,0,2022,5,4,5,52,67,2025.0,0
13.0,5.0,10.0,1,0,0,0,Rain,highway,0,1,0,2020,4,9,3,78,62,2025.0,0
9.0,5.0,10.0,1,1,0,0,Fog,highway,0,1,0,2019,5,6,0,97,45,2025.0,1
20.0,5.0,10.0,1,0,0,0,Rain,rural,0,1,0,2023,2,3,0,82,67,2025.0,1
8.0,5.0,10.0,1,1,0,0,Rain,rural,0,1,0,2022,1,1,5,70,63,2025.0,0
10.0,5.0,10.0,1,0,0,0,Fog,rural,0,1,0,2020,4,0,0,110,66,2025.0,1
10.0,5.0,10.0,1,0,0,0,Storm,highway,0,1,0,2019,1,1,0,117,21,2025.0,1
4.0,5.0,10.0,1,0,1,0,Storm,highway,0,1,0,2022,2,9,2,96,29,2025.0,0
6.0,5.0,10.0,1,0,0,0,Other,rural,0,1,0,2022,3,3,1,110,24,2025.0,1
21.0,5.0,10.0,1,0,0,0,Fog,urban,0,1,0,2020,3,5,1,75,52,2025.0,1
17.0,5.0,10.0,1,1,0,0,Other,urban,0,1,0,2018,5,0,4,112,21,2025.0,1
3.0,5.0,10.0,1,0,1,0,Fog,urban,0,1,0,2023,5,9,3,42,19,2025.0,0
17.0,5.0,10.0,1,1,0,0,Other,rural,0,1,0,2022,4,9,3,99,49,2025.0,1
18.0,5.0,10.0,1,1,0,0,Fog,highway,0,1,0,2020,2,6,4,62,33,2025.0,1
9.0,5.0,10.0,1,1,0,0,Rain,highway,0,1,0,2021,2,3,3,119,69,2025.0,0
1.0,5.0,10.0,1,0,1,0,Other,urban,0,1,0,2022,2,10,3,55,41,2025.0,1
4.0,5.0,10.0,1,0,1,0,Clear,urban,0,1,0,2022,3,2,3,105,55,2025.0,1
6.0,5.0,10.0,1,0,0,0,Other,highway,0,1,0,2023,5,1,1,70,60,2025.0,1
8.0,5.0,10.0,1,1,0,0,Rain,rural,0,1,0,2019,5,1,1,39,52,2025.0,0
21.0,5.0,10.0,1,0,0,0,Fog,highway,0,1,0,2022,4,7,2,48,22,2025.0,0
20.0,5.0,10.0,1,0,0,0,Other,rural,0,1,0,2022,1,7,1,118,38,2025.0,1
22.0,5.0,10.0,1,0,1,0,Clear,highway,0,1,0,2022,2,1,0,109,65,2025.0,0
3.0,5.0,10.0,1,0,1,0,Other,highway,0,1,0,2022,5,8,3,98,51,2025.0,1
21.0,5.0,10.0,1,0,0,0,Rain,highway,0,1,0,2019,2,9,1,35,35,2025.0,1
22.0,5.0,10.0,1,0,1,0,Rain,highway,0,1,0,2020,5,2,5,91,48,2025.0,1
21.0,5.0,10.0,1,0,0,0,Fog,highway,0,1,0,2021,3,7,0,50,57,2025.0,1
6.0,5.0,10.0,1,0,0,0,Storm,highway,0,1,0,2021,5,10,4,44,34,2025.0,0
3.0,5.0,10.0,1,0,1,0,Clear,highway,0,1,0,2019,5,1,2,46,37,2025.0,1
22.0,5.0,10.0,1,0,1,0,Fog,urban,0,1,0,2022,4,9,4,115,22,2025.0,1
15.0,5.0,10.0,1,0,0,0,Fog,highway,0,1,0,2020,4,3,5,42,36,2025.0,1
8.0,5.0,10.0,1,1,0,0,Storm,urban,0,1,0,2020,1,8,4,63,31,2025.0,1
